hips_x,hips_y,hips_z,Spine_x,Spine_y,Spine_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,leftArm_x,leftArm_y,leftArm_z,leftForeArm_x,leftForeArm_y,leftForeArm_z,leftHand_x,leftHand_y,leftHand_z,RightArm_x,RightArm_y,RightArm_z,RightArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,leftUpLeg_x,leftUpLeg_y,leftUpLeg_z,leftLeg_x,leftLeg_y,leftLeg_z,leftFoot_x,leftFoot_y,leftFoot_z,rightUpLeg_x,rightUpLeg_y,rightUpLeg_z,rightLeg_x,rightLeg_y,rightLeg_z,rightFoot_x,rightFoot_y,rightFoot_z,
359.7707,359.1772,1.469543,0.1136076,0.09436113,179.519,0.1597807,0.06660965,0.2202559,0.2804251,0.5857976,0.730788,-5.631571E-05,0.1013502,90.10514,0.0004316359,0.2545665,269.8223,301.5814,121.3524,316.8054,357.6698,355.0874,312.4037,2.057497,356.8361,359.4591,282.5311,278.2532,326.6066,282.5311,278.2532,326.6066,354.5234,3.665224,0.1307115,2.348317,82.42138,2.135435,358.3699,1.688892,10.11597,86.04354,81.58232,342.751,356.7177,268.799,25.25023,0.03211597,1.107008,352.0967,59.74137,272.8289,2.103642,
359.6151,358.9948,2.190088,0.1416465,0.1261409,179.3304,0.235514,0.1024008,0.2851601,0.4177566,0.8625775,1.00765,-0.0001439009,0.1511319,90.13692,0.000842181,0.3788697,269.7564,301.3238,120.8179,317.2718,357.6073,354.7377,311.2777,2.804411,356.7997,359.2643,282.6645,279.6958,324.7072,282.6645,279.6958,324.7072,354.8303,3.567399,0.1329227,3.838207,82.61712,0.722649,357.724,2.028313,14.67877,79.35789,76.16285,337.5019,356.0454,268.8792,24.38693,359.9734,0.9795976,350.2028,58.28349,273.813,3.574615,
359.449,358.826,2.947262,0.1691635,0.1563104,179.1373,0.3152314,0.140366,0.3479526,0.5639562,1.152532,1.290578,-0.0002621019,0.2031021,90.16858,0.001429164,0.5116262,269.6882,301.0052,120.2761,317.8373,357.5334,354.3531,310.1759,3.568,356.7441,359.0672,282.8105,281.0562,322.9286,282.8105,281.0562,322.9286,355.1422,3.484724,0.1235723,5.415382,82.78587,359.1947,357.0704,2.354082,19.56574,72.45713,75.15739,336.6549,355.3299,268.9679,23.45523,359.8794,0.8582133,348.2253,56.95332,274.6155,4.880103,
359.251,359.0985,3.593633,0.1556598,0.1297173,179.0577,0.3869179,0.1776623,0.3091544,0.7677817,1.373872,1.374756,-0.0003137485,0.2416079,90.16621,0.002085422,0.6607546,269.6448,299.8913,120.2525,319.4804,357.3284,353.7038,310.6041,3.86371,356.4503,359.0298,282.8242,280.3426,324.3269,282.8242,280.3426,324.3269,355.2293,3.752286,359.9193,6.438277,82.97472,356.8189,356.2107,2.889693,25.16361,68.59562,79.49669,340.7825,354.4512,268.9081,22.3335,359.8076,0.8740583,346.739,59.51686,273.7812,4.331571,
359.0266,359.3991,4.299152,0.1412401,0.1002722,178.97,0.465379,0.2180119,0.2653105,0.9909742,1.612671,1.46385,-0.00036831,0.2832572,90.16386,0.002932499,0.8240221,269.5974,298.6761,120.1412,321.3677,357.1031,352.9833,311.0984,4.182795,356.1216,358.9925,282.8438,279.5241,325.9178,282.8438,279.5241,325.9178,355.3209,4.056284,359.6912,7.610327,83.12815,354.1959,355.263,3.371352,31.33792,64.29442,82.84634,343.8995,353.4908,268.8614,21.08323,359.7131,0.8949834,345.1179,62.32888,272.7416,3.603211,
358.851,359.8023,4.78246,0.1562659,0.06338256,178.8872,0.5077636,0.2166297,0.1539836,1.168557,1.528779,1.233755,-0.0003872664,0.2777747,90.1749,0.003450526,0.9222743,269.5759,297.4071,120.6195,322.7597,356.7398,352.2014,312.8134,4.10354,355.5308,359.1887,282.8924,276.7129,330.4205,282.8924,276.7129,330.4205,355.1482,4.897864,359.3038,8.266994,83.29884,350.5977,354.3869,3.70746,37.26944,62.33322,85.45306,346.3176,352.653,268.6333,19.35964,359.6807,0.8647472,344.4767,64.46413,272.153,3.101764,
358.6792,0.2007128,5.24739,0.1717155,0.02673037,178.8051,0.5480952,0.212494,0.04408982,1.331964,1.42591,0.9897246,-0.0004070099,0.2719702,90.18696,0.003926185,1.010785,269.5591,296.1656,121.048,324.1713,356.4103,351.4106,314.5855,3.986628,354.9451,359.3964,282.9948,273.8666,334.9979,282.9948,273.8666,334.9979,354.9688,5.754806,358.9126,8.954757,83.42545,346.9772,353.563,3.933003,43.14782,60.45389,87.74826,348.4462,351.8275,268.4276,17.61073,359.6505,0.8338724,343.8907,66.58113,271.506,2.530791,
358.7093,0.4791339,5.333979,0.1944401,0.0009648855,178.7512,0.5441802,0.1598603,359.9784,1.217785,1.00661,0.5419837,-0.0004546878,0.2614987,90.21532,0.002957152,0.9068708,269.6311,295.5327,121.5818,324.8937,356.2858,351.0013,317.0534,3.201611,354.5511,359.782,283.0844,270.4409,340.4662,283.0844,270.4409,340.4662,354.6959,6.731678,358.5204,8.981588,83.68686,343.4312,353.3366,3.927452,46.85361,61.13235,89.88564,350.8451,351.4007,268.1975,15.6728,359.6973,0.7863148,344.411,68.052,271.628,2.511078,
359.1195,1.182896,5.102828,0.2229847,359.942,178.6604,0.4891208,359.9641,359.9426,0.4546655,359.5905,359.3138,-0.0006234949,0.3299483,90.22929,0.0001265586,0.3585295,269.9714,294.4899,123.5264,325.807,356.9337,351.1193,325.5212,359.7872,354.5932,0.629246,283.5172,261.2519,355.5418,283.5172,261.2519,355.5418,354.054,8.981039,357.4891,8.515514,84.47991,334.1851,353.8895,3.693235,52.96032,65.0939,95.89334,358.298,350.778,267.8467,9.924689,359.8287,0.6304908,347.0303,71.55859,272.3315,2.799297,
359.3893,1.525135,4.841105,0.209709,359.9016,178.6404,0.4564744,359.886,359.9875,0.05013731,359.0786,358.9891,-0.0006079669,0.4121529,90.17924,-0.0001548399,0.1153279,270.1905,294.38,124.3624,325.6952,357.6428,351.9646,329.3042,358.2736,355.3824,0.4869306,283.6691,258.4156,0.4221394,283.6691,258.4156,0.4221394,353.9517,9.341456,357.1584,8.121574,84.77061,331.705,354.4871,3.54085,52.87702,67.02592,97.5669,0.7086778,350.8261,267.8932,7.803443,359.8409,0.4895292,348.3936,72.54516,272.3378,2.797131,
